sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
,668580,Atomic Heart,,,dPUa1aAZ29g,2026-04-01T06:54:45.000Z,battleBelowZero,Below Zero,10.1,90
ad23f43530f9,668580,Atomic Heart,2026-04-01T13:45:24.536Z,2026-04-02T15:59:57.496Z,dPUa1aAZ29g,2026-04-01T14:50:16.000Z,playthroughVavilov,Pistils and Stamens,53.3,47
ac005e9ac70b,1796470,Haste,2026-04-02T13:39:07.097Z,2026-04-03T22:38:23.675Z,4U6SLXAMpS8,2026-04-02T14:17:01.000Z,ACH_11,The End Of Everything,19.6,80
fae4aae65fe5,668580,Atomic Heart,2026-04-03T14:41:57.791Z,2026-04-16T03:20:33.893Z,31TLVTMKL-M,2026-04-03T15:00:37.000Z,playthroughLesnaya,"Tickets, Please!",47.1,53
b58c1a0f5cf7,1796470,Haste,2026-04-04T12:14:57.952Z,2026-04-04T13:11:08.200Z,aJ9MpsSN6FU,2026-04-04T13:04:58.000Z,ACH_29,Endless,18.7,81
1264dab3508b,620,Portal 2,2026-04-04T13:23:19.992Z,2026-04-04T17:11:31.560Z,Q0cMyC1MGxU,2026-04-04T15:26:11.000Z,ACH.BRIDGE,Bridge Over Troubling Water,53.3,47
1264dab3508b,620,Portal 2,2026-04-04T13:23:19.992Z,2026-04-04T17:11:31.560Z,Q0cMyC1MGxU,2026-04-04T16:03:47.000Z,ACH.BREAK_OUT,SaBOTour,46.5,54
1264dab3508b,620,Portal 2,2026-04-04T13:23:19.992Z,2026-04-04T17:11:31.560Z,Q0cMyC1MGxU,2026-04-04T16:30:02.000Z,ACH.SAVE_REDEMPTION_TURRET,No Hard Feelings,31.1,69
1264dab3508b,620,Portal 2,2026-04-04T13:23:19.992Z,2026-04-04T17:11:31.560Z,Q0cMyC1MGxU,2026-04-04T16:34:20.000Z,ACH.NOT_THE_DROID,Scanned Alone,34.7,65
1264dab3508b,620,Portal 2,2026-04-04T13:23:19.992Z,2026-04-04T17:11:31.560Z,Q0cMyC1MGxU,2026-04-04T16:49:32.000Z,ACH.STALEMATE_ASSOCIATE,Stalemate Associate,45.6,54
e1edc6ca8405,2886320,Infinicrypt,2026-04-04T18:21:05.898Z,2026-04-04T18:41:56.193Z,8Gz1Wgy6t9w,2026-04-04T18:30:24.000Z,ACH_WIZARD_UPGRADESPELL,Academy Initiate,47.7,52
cb928dfedf54,3520580,Sheep for the Stars,2026-04-04T18:51:08.236Z,2026-04-04T19:14:45.956Z,K4tkNGW7TFY,2026-04-04T18:57:13.000Z,COMPLETE_W1,Explorer,55.6,44
cb928dfedf54,3520580,Sheep for the Stars,2026-04-04T18:51:08.236Z,2026-04-04T19:14:45.956Z,K4tkNGW7TFY,2026-04-04T19:10:51.000Z,COMPLETE_W2,Tourist,45.1,55
7567666528fb,3435260,Dice With Death,2026-04-04T21:48:25.713Z,2026-04-04T22:30:06.337Z,bY5fQ8AlNdo,2026-04-04T22:17:32.000Z,NoviceHealer_ACH,Novice Healer,77.9,22
7567666528fb,3435260,Dice With Death,2026-04-04T21:48:25.713Z,2026-04-04T22:30:06.337Z,bY5fQ8AlNdo,2026-04-04T22:24:35.000Z,HealerUnlocked_ACH,The Healer,83.6,16
7567666528fb,3435260,Dice With Death,2026-04-04T21:48:25.713Z,2026-04-04T22:30:06.337Z,bY5fQ8AlNdo,2026-04-04T22:25:43.000Z,DesignatedTank_ACH,Designated Tank,73.7,26
7567666528fb,3435260,Dice With Death,2026-04-04T21:48:25.713Z,2026-04-04T22:30:06.337Z,bY5fQ8AlNdo,2026-04-04T22:29:24.000Z,DeathVictory_ACH,Diced With Death,72.2,28
7567666528fb,3435260,Dice With Death,2026-04-04T21:48:25.713Z,2026-04-04T22:30:06.337Z,bY5fQ8AlNdo,2026-04-04T22:29:24.000Z,SoldierCircle1_ACH,Rookie Soldier,33.1,67
62501cf3b4d6,268910,Cuphead,2026-04-05T00:07:11.201Z,2026-04-05T17:23:21.025Z,4itrZ_y4xYI,2026-04-05T15:24:42.000Z,DefeatBossAsChalice,Alive and Kicking,13.3,87
