username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
alburldador,snMdABUl6GcjwPu6rgkN,100K,1,100000,55,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falburldador_m1-100k_1775059781675.png?alt=media&token=a6890b95-5448-47c9-815a-bbc31fc614ac,2026-04-01T16:09:40.822Z
jaxjaxus,I0LMS29SYRI1DIDhX8ua,100K,1,100000,56,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjaxjaxus_m1-100k_1775076323653.png?alt=media&token=981321b5-5b99-4611-865c-20524905f104,2026-04-01T20:45:22.192Z
jaxjaxus,nEK0rgsOsHAHNb7mvNn9,200K,2,200000,40,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjaxjaxus_m2-200k_1775076328184.png?alt=media&token=5ba442ad-957a-4073-aa60-9d8282e82e1a,2026-04-01T20:45:22.728Z
cliffelee,IGam545AUrDf38NBjIdD,400K,4,400000,22,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcliffelee_m4-400k_1775087958149.png?alt=media&token=7d37b0c2-0449-437d-8afb-d8c0b9ae48b3,2026-04-01T23:59:17.237Z
calypso_ba,5zMBvP8D3OpYOhQ0xR91,500K,5,500000,19,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcalypso_ba_m5-500k_1775117618370.png?alt=media&token=c3376e32-b5f8-4142-8747-efba4eb98952,2026-04-02T08:13:37.377Z
zoskycube,Piqga2DKqPXeI3myPIzF,800k,3,800000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fzoskycube_spent-800k_1775169203206.png?alt=media&token=7c58087f-9ef0-467c-8509-b1a00a3d561f,2026-04-02T22:33:21.620Z
slay_da_b,YojHOqwitsapkE4qKPg1,750K,6,750000,10,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fslay_da_b_m6-750k_1775229624417.png?alt=media&token=53d609fc-f3c2-446f-8f60-40c5ee5ae830,2026-04-03T15:20:23.201Z
smogracing,k8XgPsI3rHguzkZJO6Bw,400k,2,400000,14,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsmogracing_spent-400k_1775249638890.png?alt=media&token=9c66cc5f-543b-4f89-b10a-0edcbf3ad26f,2026-04-03T20:53:57.697Z
silent_luc,t6GeJ1xqi3YMBqRe94kv,500K,5,500000,20,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsilent_luc_m5-500k_1775320136821.png?alt=media&token=66797963-1fd8-488f-ac6d-adbeb79170dc,2026-04-04T16:28:55.741Z
shadowladyex,Tq3K1QaE0ybsO7Y74UIa,400k,2,400000,15,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fshadowladyex_spent-400k_1775393280042.png?alt=media&token=6756a4f3-dfb1-47ad-bc8e-c842ab47b26d,2026-04-05T12:47:58.816Z
